DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,QualifierCode
6.4,1994-09-15T06:30:00Z,-8,1994-09-15T14:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.5,1994-09-15T06:45:00Z,-8,1994-09-15T14:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.5,1994-09-15T07:00:00Z,-8,1994-09-15T15:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.6,1994-09-15T07:15:00Z,-8,1994-09-15T15:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.7,1994-09-15T07:30:00Z,-8,1994-09-15T15:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.8,1994-09-15T07:45:00Z,-8,1994-09-15T15:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7,1994-09-15T08:00:00Z,-8,1994-09-15T16:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.4,1994-09-15T08:15:00Z,-8,1994-09-15T16:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.9,1994-09-15T08:30:00Z,-8,1994-09-15T16:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10,1994-09-15T08:45:00Z,-8,1994-09-15T16:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.4,1994-09-15T09:00:00Z,-8,1994-09-15T17:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
12.6,1994-09-15T09:15:00Z,-8,1994-09-15T17:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13.7,1994-09-15T09:30:00Z,-8,1994-09-15T17:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
14.6,1994-09-15T09:45:00Z,-8,1994-09-15T17:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
15.8,1994-09-15T10:00:00Z,-8,1994-09-15T18:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
16.7,1994-09-15T10:15:00Z,-8,1994-09-15T18:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
17.9,1994-09-15T10:30:00Z,-8,1994-09-15T18:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
